id,relationship,coeficients,trend,surface_level,spatial_autocorrelation,dataset_path,target_path,trend_path
0,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",none,small,high,dataset-TR_none_rel-linear-lvl_small-sac-high.csv,target-TR_none_rel-linear-lvl_small-sac-high.csv,trend_none.csv
1,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",none,small,low,dataset-TR_none_rel-linear-lvl_small-sac-low.csv,target-TR_none_rel-linear-lvl_small-sac-low.csv,trend_none.csv
2,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",none,small,none,dataset-TR_none_rel-linear-lvl_small-sac-none.csv,target-TR_none_rel-linear-lvl_small-sac-none.csv,trend_none.csv
3,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,small,high,dataset-TR_none_rel-polynom2-lvl_small-sac-high.csv,target-TR_none_rel-polynom2-lvl_small-sac-high.csv,trend_none.csv
4,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,small,low,dataset-TR_none_rel-polynom2-lvl_small-sac-low.csv,target-TR_none_rel-polynom2-lvl_small-sac-low.csv,trend_none.csv
5,polynom2,"[[2, -1, 0.25], [-2, -1, -0.25], [-2, 1, -0.25], [-2, 1, 0.25]]",none,small,none,dataset-TR_none_rel-polynom2-lvl_small-sac-none.csv,target-TR_none_rel-polynom2-lvl_small-sac-none.csv,trend_none.csv
6,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,small,high,dataset-TR_none_rel-polynom3-lvl_small-sac-high.csv,target-TR_none_rel-polynom3-lvl_small-sac-high.csv,trend_none.csv
7,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,small,low,dataset-TR_none_rel-polynom3-lvl_small-sac-low.csv,target-TR_none_rel-polynom3-lvl_small-sac-low.csv,trend_none.csv
8,polynom3,"[[-3, -2, 2, 0.25], [3, -2, 2, -0.25], [-3, 2, -2, 0.25], [-3, -2, 2, -0.25]]",none,small,none,dataset-TR_none_rel-polynom3-lvl_small-sac-none.csv,target-TR_none_rel-polynom3-lvl_small-sac-none.csv,trend_none.csv
9,linear,"[[1.5, 0.25], [1.5, -0.25], [-1.5, 0.25], [-1.5, -0.25]]",none,medium,high,dataset-TR_none_rel-linear-lvl_medium-sac-high.csv,target-TR_none_rel-linear-lvl_medium-sac-high.csv,trend_none.csv
