,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
0,linear,none,small,high,LinearRegression,0.8677944458866061,40.0,0.12760095619469017,0.12759318559294885,-0.006090138517352878,0.12774716975923966,-0.1206836913548461,0.12852054159734197,-0.72680684323659
1,linear,none,small,low,LinearRegression,0.5781141162721324,30.0,0.14061480034560597,0.14065910705129736,0.031499350891819496,0.14128479575503577,-0.4448263015847455,0.14201126341064405,-0.9613002582574073
2,linear,none,small,none,LinearRegression,0.11596517750582296,40.0,0.18109472895912154,0.1811654405512607,0.03903150177207034,0.18134198572634574,-0.09744969821388443,0.18365454961962235,-1.3739425470926805
3,polynom2,none,small,high,LinearRegression,0.8416941633986454,5.0,0.4577382259968061,0.438556970649709,-4.37372032159941,0.1532036730847385,65.0664147789575,0.17080040984999625,61.053997249898785
4,polynom2,none,small,low,LinearRegression,0.30238227243813137,5.0,0.4212872961015393,0.4233248887586012,0.4813307015888235,0.2777882020699408,34.37943068158506,0.2897933436881121,31.543513886478515
5,polynom2,none,small,none,LinearRegression,0.1440739499287028,5.0,0.4560251062735109,0.4502670189830835,-1.2788161352416758,0.32473422191905565,27.879634033054536,0.3357045070313991,25.4432385943836
6,polynom3,none,small,high,LinearRegression,0.7073166063226284,5.0,0.6621916271038218,0.6675554718778701,0.8035054763253587,0.44068332981335917,33.98551156000672,0.46946992133138726,29.67327194386668
7,polynom3,none,small,low,LinearRegression,0.6812515248756666,5.0,0.5795559959795265,0.5366273313134582,-7.9997164067278,0.4102461009943201,23.551023763512987,0.421753489558489,21.406632694947163
8,polynom3,none,small,none,LinearRegression,0.10018671787926613,10.0,0.7462958070307983,0.7435296493521285,-0.37203058157534324,0.6886104010014943,7.386288952765755,0.6996328612810218,5.903838281278499
9,linear,none,medium,high,LinearRegression,0.8579889385487582,40.0,0.15469529852416947,0.1546939635753592,-0.0008629611520825463,0.15476463776226676,-0.045686454257238426,0.1554729663891593,-0.5035767368004764
10,linear,none,medium,low,LinearRegression,0.5110543719302844,35.0,0.15705166582961338,0.15701187126586555,-0.02534493947941834,0.15706612362875233,-0.03455303248689789,0.15843019882954124,-0.9033250493996448
11,linear,none,medium,none,LinearRegression,0.09435742654863943,40.0,0.2132040794910955,0.21318062935653373,-0.011000124463719292,0.21354356035312774,-0.17024576655462886,0.21662837803545582,-1.6172898491428607
12,polynom2,none,medium,high,LinearRegression,0.931450026501895,5.0,0.4345473013131011,0.43678783631066403,0.5129572784095031,0.13271954916543527,69.61464167902356,0.14426837009768784,66.97060721373262
13,polynom2,none,medium,low,LinearRegression,0.48478019536715,5.0,0.38636248067908996,0.3716576024446203,-3.956565973021035,0.2538234794287349,31.70502156845925,0.26678729950444197,28.21691316157182
14,polynom2,none,medium,none,LinearRegression,0.26070810892398893,5.0,0.47809590579157063,0.4804152360352997,0.4827761631520418,0.3089825269029139,35.684278156363334,0.3266508414597744,32.00656079197019
15,polynom3,none,medium,high,LinearRegression,0.7760178582449329,5.0,0.5357810807751625,0.5350828825708355,-0.1304841225666772,0.45391031209684757,15.170092917940073,0.46154456708060154,13.743350401514434
16,polynom3,none,medium,low,LinearRegression,0.6014974256292925,5.0,0.6647754028385883,0.5844253951329508,-13.748548296290014,0.4092815476961013,29.968555250239604,0.4299203168193579,26.437091817073515
17,polynom3,none,medium,none,LinearRegression,0.4601449317807753,5.0,0.8203233944787115,0.8056983958902817,-1.8151951974869522,0.6324126010866844,21.50752635074068,0.65486628044267,18.720667214553032
18,linear,none,large,high,LinearRegression,0.8698231205272466,40.0,0.14925579970361336,0.1491826842151247,-0.04901070715634581,0.14929976299195888,-0.07848013826145053,0.14997114174869977,-0.5285181304541299
19,linear,none,large,low,LinearRegression,0.41785667113853237,30.0,0.1908026181429535,0.19081588910614328,0.006954852267258254,0.19088095958662743,-0.0341011855925461,0.19253085074007142,-0.8987520074778375
20,linear,none,large,none,LinearRegression,0.20379941067458107,35.0,0.18640518356698285,0.18639573581794516,-0.005068650844521717,0.1867259108355032,-0.17713657241628755,0.18791908933558968,-0.8172684374777717
21,polynom2,none,large,high,LinearRegression,0.8432310550254387,5.0,0.4823727585126678,0.4927972702026348,2.115375291279619,0.18050389229005456,63.371572205375124,0.19642805830243873,60.14018944916864
22,polynom2,none,large,low,LinearRegression,0.6132805755543109,5.0,0.3586518557820185,0.2949252622544495,-21.607709370311024,0.18213632784700126,38.24322594316744,0.19508077631787843,33.85416534797528
23,polynom2,none,large,none,LinearRegression,0.14663877609498824,10.0,0.4657498334791195,0.45963896182102726,-1.3294938344394958,0.36651267343417987,20.26074726517823,0.3765513334455538,18.07671570014246
24,polynom3,none,large,high,LinearRegression,0.8115986651821723,5.0,0.48279836443406876,0.47993962700771897,-0.5956452156645551,0.333696530036514,30.47114444018454,0.3452854265275028,28.05648729606786
25,polynom3,none,large,low,LinearRegression,0.4808955366733361,5.0,0.5939391981411174,0.584455131199124,-1.6227194245921024,0.4327033718804332,25.964655149376885,0.45804552301122053,21.62862492601432
26,polynom3,none,large,none,LinearRegression,0.039656812592547656,10.0,0.881717951886501,0.8805974858418344,-0.12723929635064785,0.8523825010261874,3.2040728334210495,0.8627922446134082,2.021950041272798
27,linear,linear,small,high,LinearRegression,0.8322423640366086,40.0,0.11519707722337072,0.11516591837583688,-0.027055615040686907,0.11515907419599664,0.005942886521262487,0.11620955115222677,-0.9061993262486341
28,linear,linear,small,low,LinearRegression,0.8758698633199993,35.0,0.08792860042876344,0.0879286868692934,9.83075410697244e-05,0.08802722140964422,-0.1120618808936646,0.08909276122827157,-1.3238846165286038
29,linear,linear,small,none,LinearRegression,0.07346757869777616,35.0,0.18453688096702917,0.18457734493009312,0.02192249708612822,0.1848628432839878,-0.15467681258651553,0.18555783895712008,-0.5312103863008296
30,polynom2,linear,small,high,LinearRegression,0.609311052085638,5.0,0.29580139028766717,0.3006623950688466,1.6167651362141142,0.16577489484655988,44.86344233085743,0.17651430898743142,41.291524353415525
31,polynom2,linear,small,low,LinearRegression,0.7232708125938139,5.0,0.4436369138001127,0.4137022527972205,-7.235798403438942,0.15822459703563518,61.753991919113325,0.1697705814832905,58.96309958783209
32,polynom2,linear,small,none,LinearRegression,0.08165450661379833,10.0,0.43969082702800877,0.44029149357677094,0.13642474531646606,0.3641350925465748,17.296814074586983,0.37409749151685884,15.03413148461617
33,polynom3,linear,small,high,LinearRegression,0.7730697549553119,5.0,0.7251636261431649,0.7321773839128786,0.9579314963582999,0.39919928629531054,45.47779061927279,0.41713826867288817,43.02770369065057
34,polynom3,linear,small,low,LinearRegression,0.40049615077938105,5.0,0.5930114014237385,0.5835243470259481,-1.625819804459425,0.4838356093447722,17.083903728997786,0.4955132585618431,15.082676312080492
35,polynom3,linear,small,none,LinearRegression,0.13772299843932972,10.0,0.7578281526207844,0.7543943672856668,-0.4551711258757782,0.6661800363092194,11.693397353143707,0.6785255339406395,10.056919382630806
36,linear,linear,medium,high,LinearRegression,0.8371889669539662,25.0,0.07670254783280908,0.07667795720437873,-0.03207000985277951,0.0767659899757619,-0.11480844638117238,0.07732075485956706,-0.838308268274559
37,linear,linear,medium,low,LinearRegression,0.4068373316578445,40.0,0.08099041605759294,0.08098605490720422,-0.005385063383715575,0.08104252737439913,-0.06973110032291008,0.08175274589559647,-0.9466950690100294
38,linear,linear,medium,none,LinearRegression,0.2597673413768961,40.0,0.10305952037506604,0.10305908393446737,-0.00042348581221499646,0.10311444240111646,-0.0537152714109965,0.10458014371934908,-1.4759104455546193
39,polynom2,linear,medium,high,LinearRegression,0.7390530154131721,5.0,0.20119415033171104,0.17710275715022503,-13.603059358952166,0.09531511522612489,46.180897034101434,0.10406984139900624,41.237593884136764
40,polynom2,linear,medium,low,LinearRegression,0.3892840992799351,5.0,0.2060863260845903,0.19820554799710519,-3.9760633176626357,0.09938958585310109,49.8552957485566,0.10653653064884105,46.24947095305474
41,polynom2,linear,medium,none,LinearRegression,0.049302733472441226,10.0,0.29566179102389567,0.2954357825975163,-0.07650001783544147,0.2554648878497936,13.529469719711173,0.2618653863565123,11.363009567036183
42,polynom3,linear,medium,high,LinearRegression,0.7805709602273811,5.0,0.329715596260727,0.3243635362969993,-1.6500189956084113,0.24607548580654012,24.135897451424917,0.25365429891174024,21.79937923741067
43,polynom3,linear,medium,low,LinearRegression,0.3539351091838998,5.0,0.29482179138160464,0.2935103837945186,-0.44680108762493603,0.21561431991433028,26.539457607306318,0.22482207366438134,23.40234414950877
