,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
0,linear,none,small,high,RandomForest,0.8677944458866061,5.0,0.35252118472860766,0.34518351520130747,-2.125729996990424,0.17405405155405854,49.57637201980749,0.18508076050142705,46.38192371571109
1,linear,none,small,low,RandomForest,0.5781141162721324,10.0,0.377253424681097,0.38923771967929816,3.078914090873637,0.2470616568440136,36.52679471877151,0.25246931821952306,35.13749941101846
2,linear,none,small,none,RandomForest,0.11596517750582296,10.0,0.36951007098412075,0.3855729473597826,4.16597598084945,0.30540409396348495,20.792136467367655,0.30876458628250236,19.92057835053699
3,polynom2,none,small,high,RandomForest,0.8416941633986454,10.0,0.3369507725682862,0.33356828665416594,-1.0140310243662747,0.1714124517407828,48.61248547932306,0.17742095821982848,46.811203187378105
4,polynom2,none,small,low,RandomForest,0.30238227243813137,10.0,0.3088290362915137,0.3089412355432854,0.03631734416235737,0.22256885805054516,27.95754258600377,0.23183140249321138,24.959385209447138
5,polynom2,none,small,none,RandomForest,0.1440739499287028,15.0,0.32771929378255377,0.35064737378637917,6.538785605676206,0.262447959639929,25.153308063896375,0.26839916427083615,23.456103100789267
6,polynom3,none,small,high,RandomForest,0.7073166063226284,10.0,0.6247809767560099,0.6185204987559851,-1.012169849280058,0.46161710880324996,25.367532728229875,0.4680442500680788,24.328417407435236
7,polynom3,none,small,low,RandomForest,0.6812515248756666,10.0,0.6063975479705177,0.6059306972893491,-0.07704687735033998,0.4292104979775751,29.165084406902906,0.44199435530878123,27.055295715160575
8,polynom3,none,small,none,RandomForest,0.10018671787926613,15.0,0.6912054880984742,0.713360774068322,3.1057617372897375,0.6089790383867285,14.632390716733793,0.6185022503267771,13.29741235988676
9,linear,none,medium,high,RandomForest,0.8579889385487582,10.0,0.30177661728945615,0.2842132768215884,-6.179634063644715,0.18304860970571948,35.59463099233533,0.18839166081478853,33.71468675861712
10,linear,none,medium,low,RandomForest,0.5110543719302844,10.0,0.33754376951398374,0.3482005314417262,3.0605243144282612,0.21293477577396133,38.847084784074355,0.2182112036089706,37.33174308911422
