,relationship,trend,surface_level,spatial_autocorrelation,algorithm,spatial_autocorrelation_val,bandwidth,Coordinates,No_coordinates,Add_coordinates_change,Geographical,Geographical_change,Multiscale,Multiscale_change
0,linear,none,small,high,SupportVectorMachines,0.8677944458866061,40.0,0.1250005816824676,0.1250475976293019,0.03759844069429123,0.12775394664334447,-2.16425510393684,0.12873852264152583,-2.951616090351062
1,linear,none,small,low,SupportVectorMachines,0.5781141162721324,30.0,0.14269628151247857,0.14266269109173038,-0.023545343559086565,0.14151404841779602,0.8051458059176767,0.14323482758507344,-0.40104142783566654
2,linear,none,small,none,SupportVectorMachines,0.11596517750582296,40.0,0.1813507301557848,0.18132755779938753,-0.012779280038005924,0.18157639393285246,-0.13723017972824442,0.18508691130641414,-2.07323892333331
3,polynom2,none,small,high,SupportVectorMachines,0.8416941633986454,40.0,0.13646254878958589,0.13581465209642815,-0.47704476884992436,0.13905742674915716,-2.387647137237188,0.14081629805040294,-3.6826998241865887
4,polynom2,none,small,low,SupportVectorMachines,0.30238227243813137,40.0,0.18617320084242175,0.18526732602887994,-0.4889555179312126,0.18604858152039183,-0.4216909199575273,0.19753695315668648,-6.622661097777128
5,polynom2,none,small,none,SupportVectorMachines,0.1440739499287028,40.0,0.14820783554909703,0.14515147212675536,-2.1056372199054656,0.1471374356156337,-1.3682007214808447,0.15519833916576747,-6.921643226765596
6,polynom3,none,small,high,SupportVectorMachines,0.7073166063226284,40.0,0.42514747111025697,0.4231595314715475,-0.4697849134571919,0.4220578384409983,0.2603493360336289,0.4354684531636004,-2.908813526957154
7,polynom3,none,small,low,SupportVectorMachines,0.6812515248756666,40.0,0.3918343903299494,0.3856160962575575,-1.6125608170252863,0.38740971373936095,-0.4651303457533779,0.4024454499474807,-4.36427676470297
8,polynom3,none,small,none,SupportVectorMachines,0.10018671787926613,40.0,0.4147135053703507,0.39928029379097163,-3.86525751943534,0.39777605125536714,0.3767384864708561,0.4177719979510862,-4.631258904501616
9,linear,none,medium,high,SupportVectorMachines,0.8579889385487582,40.0,0.15342963320772943,0.15342710842447244,-0.0016455913709888287,0.15492008257592088,-0.9730836791357451,0.15630849625092494,-1.8780174221108545
10,linear,none,medium,low,SupportVectorMachines,0.5110543719302844,40.0,0.15728613421638343,0.15716571297844012,-0.07662055270275947,0.15726666622011076,-0.06423362943321574,0.1601232544566575,-1.8817981493349658
11,linear,none,medium,none,SupportVectorMachines,0.09435742654863943,40.0,0.21486106015370265,0.21473262029274015,-0.05981385631461328,0.21384490172975443,0.41340647814734266,0.21857001492770214,-1.7870571456402664
12,polynom2,none,medium,high,SupportVectorMachines,0.931450026501895,40.0,0.12557087958284802,0.12559548610382082,0.019591883224579085,0.12259125041319335,2.391993362041753,0.12463847679854041,0.7619774682740712
13,polynom2,none,medium,low,SupportVectorMachines,0.48478019536715,40.0,0.20799040228839383,0.20366020191094927,-2.1261887874087155,0.1971629702990706,3.1902313514937997,0.2033671397101102,0.14389762854463833
14,polynom2,none,medium,none,SupportVectorMachines,0.26070810892398893,40.0,0.20149933727262795,0.19733722666114595,-2.109136062112038,0.19171979727228325,2.846614135562251,0.1991021517893633,-0.8943700882388315
15,polynom3,none,medium,high,SupportVectorMachines,0.7760178582449329,40.0,0.4502903899576564,0.45059665727312603,0.06796928262252505,0.4423768694788954,1.8242007927831327,0.4559878321144201,-1.1964524712455347
16,polynom3,none,medium,low,SupportVectorMachines,0.6014974256292925,40.0,0.4041155105479591,0.40614422078832846,0.499504889280867,0.3967198292377519,2.3204544268249734,0.4129234125442693,-1.6691587394207836
17,polynom3,none,medium,none,SupportVectorMachines,0.4601449317807753,40.0,0.4678531289239866,0.45244540767627733,-3.405432122041437,0.462316423940881,-2.1817032722909966,0.48686659107141933,-7.607809209939025
18,linear,none,large,high,SupportVectorMachines,0.8698231205272466,40.0,0.14926905955126202,0.1493077024412385,0.025881377413663625,0.14931836006626598,-0.007138027612249867,0.1504799654416799,-0.7851323014649959
19,linear,none,large,low,SupportVectorMachines,0.41785667113853237,40.0,0.19075780893327107,0.19071863647851886,-0.02053939534987405,0.19109034416746323,-0.19489846184289342,0.19544343062886044,-2.477363637650452
20,linear,none,large,none,SupportVectorMachines,0.20379941067458107,35.0,0.1879030706972095,0.18790090966744377,-0.0011500901030989624,0.1867788194769178,0.5971712390918736,0.1888969793024615,-0.5301036789979431
21,polynom2,none,large,high,SupportVectorMachines,0.8432310550254387,40.0,0.16966550261835625,0.16882316415317247,-0.49894720870148407,0.16764069013592053,0.700421664990881,0.1708956840552132,-1.2276276851204655
22,polynom2,none,large,low,SupportVectorMachines,0.6132805755543109,40.0,0.16845168884464046,0.16924405554740696,0.46817993116724305,0.17095260494204612,-1.0095181122391483,0.17779599428018297,-5.053021629099719
23,polynom2,none,large,none,SupportVectorMachines,0.14663877609498824,40.0,0.16087898820291072,0.15885803115565855,-1.2721780778410317,0.1567048501786099,1.355412100593659,0.1654214214724411,-4.1316074919443935
24,polynom3,none,large,high,SupportVectorMachines,0.8115986651821723,40.0,0.334511841000677,0.3331158992279756,-0.419055882933426,0.3276002571438642,1.6557726895937244,0.33265488015096756,0.13839599913317524
25,polynom3,none,large,low,SupportVectorMachines,0.4808955366733361,40.0,0.39345402112252253,0.39099878905844987,-0.6279385340259036,0.3923261383262657,-0.33947656743699905,0.40819436400672776,-4.397858875646633
26,polynom3,none,large,none,SupportVectorMachines,0.039656812592547656,40.0,0.42537493872829263,0.414470134265212,-2.631022976459585,0.41261326278512434,0.4480109244492621,0.44192256533070406,-6.623500415575356
27,linear,linear,small,high,SupportVectorMachines,0.8322423640366086,40.0,0.11615523393824576,0.11613515878512519,-0.017286025464269175,0.11513067211469862,0.8649290024953502,0.11613514582427732,1.1160141341135115e-05
28,linear,linear,small,low,SupportVectorMachines,0.8758698633199993,40.0,0.08812463346992577,0.08809834588287782,-0.029838911031201128,0.08798204379726245,0.13201392653840763,0.08877117400526972,-0.7637238992958989
29,linear,linear,small,none,SupportVectorMachines,0.07346757869777616,40.0,0.19055900539217613,0.1904702214439258,-0.04661303356360009,0.18488132978550256,2.9342600728107033,0.1880435244208103,1.274055862758542
30,polynom2,linear,small,high,SupportVectorMachines,0.609311052085638,40.0,0.15176285651252733,0.14887707733938021,-1.9383636653268588,0.14963069766194986,-0.5062030609666625,0.1521244843188955,-2.1812672827479633
31,polynom2,linear,small,low,SupportVectorMachines,0.7232708125938139,40.0,0.1407730750698334,0.13919658784062125,-1.1325616911078304,0.1436072983127111,-3.1686915178840964,0.14591676481590088,-4.827831687206419
32,polynom2,linear,small,none,SupportVectorMachines,0.08165450661379833,40.0,0.1790458682894758,0.17175314715018603,-4.246048040629384,0.16910750055944282,1.540377358226673,0.18132573816522252,-5.573458870401912
33,polynom3,linear,small,high,SupportVectorMachines,0.7730697549553119,40.0,0.39237512694079635,0.3878090700004385,-1.1773981821396464,0.38307049096075235,1.2218845319117486,0.3923486544888684,-1.1705720261841115
34,polynom3,linear,small,low,SupportVectorMachines,0.40049615077938105,40.0,0.4279272847682317,0.41926711082026386,-2.0655505105146217,0.42254442625249583,-0.7816772047347477,0.43674717029306703,-4.169194058318761
35,polynom3,linear,small,none,SupportVectorMachines,0.13772299843932972,40.0,0.3745523401509995,0.35746801984446175,-4.77925838344121,0.3597954862930993,-0.6510978099943816,0.3871168561648596,-8.294122739510618
36,linear,linear,medium,high,SupportVectorMachines,0.8371889669539662,35.0,0.07753620364739791,0.07759356217410346,0.073921759870809,0.07667987137931295,1.1775342814399705,0.07721380267687288,0.48942139861872025
37,linear,linear,medium,low,SupportVectorMachines,0.4068373316578445,35.0,0.08151059729158176,0.08152284262095193,0.015020734037820413,0.08105808605747716,0.570093667655448,0.08113537630754572,0.47528557757457945
38,linear,linear,medium,none,SupportVectorMachines,0.2597673413768961,40.0,0.10333263555457385,0.10329672301293251,-0.03476639005948502,0.10320086474702843,0.09279894183291712,0.10494146991108479,-1.5922546719573656
39,polynom2,linear,medium,high,SupportVectorMachines,0.7390530154131721,40.0,0.09281056063983853,0.09335235282406622,0.5803733573258305,0.08976469624815936,3.84313460493945,0.09125089690320974,2.251101185223391
40,polynom2,linear,medium,low,SupportVectorMachines,0.3892840992799351,40.0,0.08217569099078086,0.0810773182498832,-1.3547225840800812,0.07887668975365993,2.714234441549811,0.08067815091927934,0.49232922254979067
41,polynom2,linear,medium,none,SupportVectorMachines,0.049302733472441226,40.0,0.08794724199819735,0.0859610697712362,-2.310548521844657,0.0852332150038493,0.8467260462485015,0.09273557142560597,-7.880895005609403
42,polynom3,linear,medium,high,SupportVectorMachines,0.7805709602273811,40.0,0.24134910969981824,0.23573628669989796,-2.3809754020031844,0.2372238100700182,-0.6310116236003621,0.2414531794791034,-2.4251220969147154
43,polynom3,linear,medium,low,SupportVectorMachines,0.3539351091838998,40.0,0.20450281298422981,0.2025289222145045,-0.9746216728664115,0.19765668669415754,2.4056986365565263,0.20731824409454036,-2.364759476161803
44,polynom3,linear,medium,none,SupportVectorMachines,0.03931584591209052,40.0,0.2347559284449704,0.2222834048269381,-5.611090772945,0.22917722546978203,-3.101365416015299,0.24386759685078563,-9.710212978180813
45,linear,linear,large,high,SupportVectorMachines,0.9137353924642161,40.0,0.15298456903394564,0.15304232741995852,0.03774013829153714,0.15385408936899747,-0.5304166257295754,0.1554763651663778,-1.5904343507140497
46,linear,linear,large,low,SupportVectorMachines,0.6334470592715884,40.0,0.16558812396414632,0.16556597859453742,-0.01337555565273051,0.1643558648756989,0.7308951567894486,0.16805085842432463,-1.500839635582712
47,linear,linear,large,none,SupportVectorMachines,0.10571504306527243,40.0,0.20402147731518966,0.20387347667120145,-0.07259435920980273,0.20262350331623694,0.6131122965938438,0.20462584788088456,-0.36903829863876725
48,polynom2,linear,large,high,SupportVectorMachines,0.8138584761503566,40.0,0.22194490191580654,0.22098609850019574,-0.4338749912859132,0.21740710173960917,1.619557422334146,0.2235040336124164,-1.1394088267585838
49,polynom2,linear,large,low,SupportVectorMachines,0.4565859911096394,40.0,0.2889765592453878,0.286404173850319,-0.8981661686303322,0.29248696740053903,-2.1238494776263317,0.303241132320276,-5.878740607584976
50,polynom2,linear,large,none,SupportVectorMachines,0.13041721318237878,40.0,0.25835417735703703,0.2540803565464613,-1.6820744699302417,0.25918661229561607,-2.0097011113179324,0.2726299299646885,-7.300671988326352
51,polynom3,linear,large,high,SupportVectorMachines,0.8704367211272213,40.0,0.38088837058913466,0.3791283095229614,-0.46423889273472274,0.3826892310636337,-0.9392391576226036,0.3885969200307944,-2.497468606273922
52,polynom3,linear,large,low,SupportVectorMachines,0.608723103551227,40.0,0.4171765657557259,0.4147113306954119,-0.5944460345899383,0.3976279583760138,4.119340624417403,0.4083539680414323,1.5329609256923793
53,polynom3,linear,large,none,SupportVectorMachines,0.09309775759134276,40.0,0.5270499957782389,0.5018798909248888,-5.015165044163321,0.5043315474683912,-0.488494675286609,0.5460742553661474,-8.805765132333761
